0,3,0,1
1,3,0,1
2,3,0,1
3,3,0,1
4,4,1,1
5,4,0,1
6,1,0,0
7,4,0,1
8,2,1,0
9,3,1,0
10,3,0,1
11,4,0,1
12,3,0,0
13,4,0,1
14,5,0,0
15,4,0,1
16,2,0,0
17,4,1,0
18,3,0,1
19,3,1,0
20,3,0,1
21,4,1,0
22,3,0,1
23,1,0,0
24,3,0,1
25,3,0,1
26,3,1,0
27,4,0,1
28,1,0,0
29,1,0,0
30,1,1,0
31,3,0,1
32,2,0,0
33,2,1,0
34,4,1,1
35,1,0,0
36,4,0,1
37,5,0,0
38,2,0,0
39,5,0,0
40,3,0,1
41,3,0,1
42,3,0,1
43,5,0,0
44,2,1,0
45,3,0,1
46,4,0,1
47,3,1,0
48,2,1,0
49,3,0,1
50,4,0,1
51,2,0,0
52,3,0,1
53,3,0,1
54,1,0,0
55,5,0,0
56,5,0,0
57,2,0,0
58,3,0,1
59,2,0,0
60,1,1,0
61,1,0,1
62,1,0,0
63,3,1,0
64,2,0,0
65,3,0,1
66,4,0,0
67,4,0,1
68,3,1,0
69,3,0,1
70,4,0,1
71,4,1,1
72,2,0,0
73,3,0,1
74,3,1,0
75,2,0,0
76,3,1,0
77,2,0,0
78,4,0,1
79,3,0,0
80,3,1,0
81,1,1,0
82,1,0,0
83,3,0,0
84,5,1,0
85,4,1,0
86,5,1,0
87,2,0,0
88,4,0,1
89,2,0,0
90,2,0,0
91,4,0,1
92,1,1,0
93,3,0,1
94,4,0,1
95,5,1,0
96,2,0,0
97,2,1,0
98,4,0,1
99,2,0,0
100,4,1,0
101,3,1,0
102,2,0,0
103,1,0,0
104,5,1,1
105,2,0,0
106,4,0,1
107,4,1,0
108,3,0,1
109,2,0,0
110,3,0,1
111,2,0,0
112,3,0,1
113,3,0,1
114,3,0,0
115,3,0,1
116,5,1,0
117,2,0,0
118,3,0,1
119,3,0,1
120,2,1,0
121,4,0,1
122,3,0,0
123,4,0,1
124,2,0,0
125,3,0,1
126,4,0,1
127,3,0,1
128,2,0,0
